id_producto,nombre_producto,stock,precio_unitario
173,paper,329.0,815.94
174,prevent,429.0,184.04
175,heavy,101.0,327.74
176,pull,386.0,922.21
177,live,248.0,732.17
178,take,371.0,940.07
179,decision,394.0,543.2
180,perform,67.0,701.77
181,movie,254.0,47.14
182,feeling,399.0,463.31
183,both,131.0,109.38
184,street,354.0,555.44
185,find,426.0,268.39
186,image,446.0,76.98
187,name,333.0,566.97
188,game,62.0,164.91
189,thank,319.0,683.58
190,gun,,930.3
191,capital,493.0,646.67
192,open,146.0,566.45
193,already,312.0,880.74
194,another,,506.95
195,office,18.0,838.81
196,heavy,466.0,148.71
197,society,172.0,84.46
198,same,39.0,589.67
199,want,,988.54
200,start,29.0,944.16
201,set,,520.24
202,nature,449.0,629.07
203,money,401.0,657.54
204,win,419.0,547.3
205,probably,118.0,692.62
206,lay,116.0,967.35
207,relationship,0.0,382.86
208,newspaper,3.0,67.25
209,visit,161.0,730.38
210,contain,336.0,382.64
211,ability,,83.43
212,get,254.0,869.23
213,pay,343.0,298.11
214,deal,,592.58
215,wall,62.0,333.28
216,arrive,374.0,736.98
217,return,71.0,81.06
218,decision,61.0,596.0
219,reality,433.0,576.36
220,real,14.0,583.03
221,support,269.0,598.05
222,west,20.0,347.02
223,finish,437.0,319.11
224,scientist,120.0,513.6
225,thousand,451.0,181.86
226,old,,948.09
227,after,286.0,644.4
228,two,365.0,516.7
229,of,63.0,289.38
230,down,80.0,633.44
231,out,247.0,912.7
232,consumer,468.0,882.59
233,suffer,437.0,130.31
234,song,215.0,572.28
235,scene,41.0,910.15
236,part,,165.39
237,radio,155.0,890.21
238,artist,,883.96
239,street,153.0,43.13
240,if,70.0,650.34
241,forget,29.0,926.71
242,its,108.0,79.94
243,style,167.0,718.62
244,account,189.0,430.71
245,player,371.0,359.51
246,note,,235.12
247,phone,137.0,857.32
248,reason,383.0,790.04
249,close,268.0,993.54
250,both,381.0,540.92
251,likely,429.0,792.92
252,group,226.0,69.09
253,begin,357.0,868.76
254,recognize,460.0,862.04
255,manage,97.0,429.39
256,young,41.0,142.16
257,name,145.0,128.79
258,other,454.0,898.97
259,game,275.0,62.35
260,sell,,991.41
261,like,373.0,829.01
262,trial,256.0,79.13
263,protect,258.0,548.92
264,bit,359.0,671.06
265,think,,393.07
266,necessary,404.0,352.88
267,tree,193.0,634.06
268,stay,329.0,365.24
269,easy,476.0,65.19
270,son,339.0,96.37
271,head,257.0,555.76
272,bag,259.0,984.24
273,debate,92.0,423.42
274,act,76.0,228.89
275,and,109.0,464.18
276,because,113.0,775.13
277,decide,96.0,731.24
278,happy,306.0,463.4
279,concern,303.0,73.29
280,item,39.0,866.29
281,example,99.0,83.62
282,child,358.0,74.54
283,subject,243.0,537.41
284,region,193.0,186.61
285,challenge,22.0,559.37
286,happen,298.0,732.93
287,across,131.0,747.33
288,baby,489.0,857.77
289,away,28.0,78.28
290,process,95.0,902.16
291,measure,,905.79
292,control,312.0,851.06
293,show,405.0,104.06
294,different,29.0,583.46
295,go,445.0,24.1
296,visit,136.0,690.82
297,world,152.0,506.32
298,exist,91.0,620.38
299,compare,438.0,223.43
300,entire,420.0,872.33
301,technology,293.0,667.62
302,order,457.0,371.66
303,point,114.0,906.44
304,gun,439.0,699.99
305,imagine,,366.67
306,bill,484.0,347.08
307,fight,392.0,185.62
308,opportunity,469.0,636.46
309,race,,74.26
310,stuff,400.0,968.85
311,while,306.0,221.85
312,total,225.0,733.05
313,financial,,389.62
314,trade,107.0,45.8
315,job,406.0,926.15
316,be,125.0,230.87
317,catch,21.0,76.17
318,size,257.0,89.22
319,find,403.0,858.3
320,exist,270.0,812.17
321,minute,,908.26
322,really,81.0,406.95
323,institution,309.0,59.16
324,account,444.0,58.0
325,protect,242.0,769.3
326,million,127.0,991.61
327,price,165.0,434.46
328,may,100.0,987.0
329,such,410.0,996.6
330,raise,195.0,835.83
331,modern,244.0,652.72
332,marriage,137.0,206.14
333,system,287.0,40.05
334,determine,499.0,526.22
335,write,,506.62
336,month,171.0,435.5
337,western,212.0,651.01
338,executive,180.0,81.32
339,business,292.0,685.49
340,right,298.0,206.83
341,time,308.0,678.86
342,statement,2.0,335.41
343,activity,15.0,747.48
344,large,493.0,33.05
345,study,163.0,236.78
346,by,347.0,76.39
347,set,65.0,142.82
348,student,,540.58
349,special,,604.28
350,economic,197.0,163.72
351,story,423.0,286.74
352,rate,339.0,724.72
353,property,474.0,605.45
354,news,243.0,696.21
355,pick,333.0,664.06
356,plan,334.0,750.42
357,protect,9.0,113.16
358,character,52.0,968.38
359,quite,12.0,925.85
360,happen,128.0,884.29
361,create,183.0,445.45
362,everything,470.0,644.08
363,step,431.0,80.51
364,any,496.0,242.37
365,morning,182.0,876.45
366,tax,267.0,521.73
367,foreign,158.0,178.59
368,manage,53.0,251.45
369,us,145.0,257.24
370,break,69.0,494.82
371,pretty,55.0,631.78
372,finally,439.0,786.84
373,agency,411.0,624.95
374,church,112.0,430.63
375,ten,40.0,786.63
376,get,463.0,438.42
377,it,,657.72
378,cultural,334.0,708.64
379,do,426.0,292.33
380,wind,465.0,836.27
381,else,130.0,467.87
382,protect,304.0,176.31
383,run,164.0,581.44
384,forward,125.0,816.37
385,reality,28.0,669.62
386,focus,27.0,660.31
387,cold,384.0,122.29
388,along,379.0,796.34
389,same,94.0,220.74
390,second,384.0,561.62
391,person,283.0,402.28
392,attorney,247.0,465.68
393,mind,,588.29
394,TV,198.0,326.38
395,hold,299.0,633.6
396,right,257.0,469.08
397,exactly,310.0,282.5
398,chair,,58.01
399,eight,102.0,26.68
400,military,75.0,811.18
401,company,339.0,340.76
402,employee,64.0,79.51
403,never,241.0,638.5
404,than,280.0,474.76
405,none,403.0,764.42
406,manager,182.0,947.84
407,perform,236.0,742.42
408,television,240.0,757.32
409,section,482.0,463.35
410,everyone,456.0,766.46
411,concern,392.0,450.59
412,position,282.0,82.49
413,mission,452.0,580.54
414,section,183.0,508.18
415,center,0.0,12.99
416,to,236.0,66.44
417,series,,686.95
418,concern,99.0,974.83
419,arm,447.0,360.58
420,might,65.0,252.19
421,myself,230.0,480.3
422,adult,281.0,790.03
423,whole,69.0,221.8
424,clearly,270.0,38.52
425,dinner,222.0,506.55
426,throughout,41.0,961.36
427,through,44.0,836.68
428,including,150.0,945.75
429,though,225.0,968.6
430,remain,94.0,93.21
431,college,468.0,783.95
432,another,340.0,53.37
433,force,351.0,29.74
434,reveal,401.0,236.3
435,religious,479.0,143.32
436,father,149.0,226.92
437,cover,380.0,401.13
438,spend,96.0,464.75
439,industry,312.0,590.37
440,line,61.0,723.58
441,heavy,299.0,862.32
442,simply,284.0,909.63
443,radio,316.0,606.96
444,father,441.0,139.5
445,day,303.0,112.18
446,court,,678.01
447,study,222.0,229.3
448,now,441.0,726.38
449,teach,71.0,616.82
450,organization,477.0,969.54
451,on,260.0,593.59
452,beat,475.0,196.41
453,pressure,489.0,964.12
454,piece,340.0,375.71
455,choice,,669.85
456,situation,,468.88
457,once,277.0,543.19
458,southern,138.0,315.34
459,brother,48.0,758.07
460,theory,307.0,154.98
461,wait,33.0,139.91
462,explain,126.0,825.39
463,crime,73.0,789.32
464,meeting,268.0,42.58
465,big,356.0,775.7
466,forward,388.0,707.9
467,inside,147.0,248.74
468,glass,230.0,470.29
469,successful,349.0,688.09
470,security,,672.55
471,room,3.0,638.17
472,professor,138.0,870.55
473,crime,439.0,491.09
474,issue,381.0,406.25
475,mission,408.0,113.4
476,lay,348.0,852.43
477,official,259.0,823.78
478,project,400.0,686.54
479,big,398.0,494.59
480,design,80.0,241.82
481,property,273.0,258.43
482,possible,213.0,177.22
483,catch,424.0,504.9
484,college,168.0,357.51
485,sister,,843.95
486,man,188.0,412.12
487,area,349.0,641.22
488,federal,277.0,69.38
489,spend,262.0,164.07
490,writer,434.0,623.4
491,shoulder,262.0,278.41
492,as,302.0,649.92
493,challenge,169.0,191.77
494,road,66.0,927.3
495,discussion,130.0,411.48
496,old,480.0,504.06
497,admit,223.0,568.87
498,poor,165.0,766.28
499,trade,,332.02
500,may,21.0,497.4
501,need,221.0,614.25
502,challenge,288.0,443.81
503,us,393.0,590.67
504,another,6.0,858.94
505,no,384.0,709.69
506,staff,,852.43
507,in,392.0,323.99
508,more,95.0,925.73
509,stage,479.0,278.39
510,whom,,690.12
511,media,,510.9
512,man,461.0,12.29
513,win,235.0,570.28
514,firm,289.0,773.35
515,produce,410.0,777.01
516,toward,65.0,41.21
517,win,246.0,817.26
518,suggest,,642.03
519,sister,234.0,834.66
520,include,4.0,28.12
521,physical,392.0,211.97
522,change,453.0,442.54
523,main,326.0,477.04
524,woman,260.0,714.29
525,again,227.0,374.35
526,PM,50.0,555.2
527,main,191.0,135.9
528,relationship,78.0,572.53
529,position,338.0,983.4
530,again,244.0,221.99
531,house,95.0,402.01
532,respond,219.0,947.27
533,and,159.0,350.17
534,old,202.0,548.55
535,pull,192.0,448.18
536,also,6.0,752.09
537,pick,150.0,51.01
538,this,,164.88
539,born,,721.43
540,player,316.0,280.17
541,outside,253.0,886.12
542,factor,131.0,209.0
543,follow,459.0,199.93
544,some,8.0,322.61
545,likely,121.0,668.49
546,various,406.0,333.45
547,administration,274.0,630.64
548,sit,,785.55
549,brother,97.0,983.26
550,everything,21.0,217.96
551,hot,182.0,203.12
552,least,488.0,341.72
553,impact,498.0,890.84
554,avoid,,792.63
555,mean,333.0,962.16
556,manager,479.0,781.35
557,approach,414.0,95.07
558,watch,204.0,774.71
559,debate,247.0,861.65
560,ahead,493.0,385.31
561,clearly,,13.58
562,night,201.0,590.46
563,nothing,41.0,821.34
564,gun,118.0,917.79
565,treatment,387.0,961.56
566,nearly,435.0,872.44
567,none,29.0,594.24
568,exactly,267.0,575.83
569,consider,95.0,431.9
570,human,,783.17
571,pass,258.0,503.89
572,instead,,424.18
573,two,490.0,399.68
574,only,334.0,718.42
575,everybody,282.0,787.94
576,deep,151.0,478.58
577,his,121.0,302.45
578,real,411.0,839.58
579,call,285.0,885.49
580,bad,69.0,513.11
581,like,442.0,169.92
582,sport,295.0,14.65
583,movement,196.0,655.78
584,fish,483.0,71.22
585,he,176.0,363.03
586,plant,369.0,391.19
587,discuss,,138.43
588,board,375.0,197.05
589,authority,,195.79
590,specific,416.0,664.13
591,yet,375.0,746.51
592,politics,249.0,54.66
593,bring,437.0,442.42
594,understand,454.0,426.07
595,provide,152.0,754.11
596,experience,309.0,158.37
597,under,318.0,747.43
598,relationship,169.0,347.25
599,class,239.0,288.4
600,home,225.0,85.87
601,your,424.0,809.53
602,stand,257.0,87.93
603,bed,232.0,733.06
604,especially,84.0,795.57
605,finally,466.0,699.64
606,small,448.0,456.18
607,man,313.0,22.86
608,soldier,469.0,202.22
609,again,,818.14
610,organization,209.0,349.31
611,great,385.0,264.63
612,market,331.0,970.09
613,one,319.0,989.05
614,down,156.0,22.37
615,kid,160.0,823.86
616,national,,133.97
617,response,26.0,716.27
618,table,356.0,151.65
619,cut,60.0,205.36
620,kid,128.0,873.22
621,civil,276.0,739.85
622,catch,194.0,601.38
623,section,409.0,986.74
624,yourself,423.0,530.43
625,accept,256.0,136.1
626,area,390.0,34.08
627,source,79.0,794.88
628,property,194.0,602.4
629,know,18.0,118.47
630,phone,44.0,703.65
631,know,343.0,522.73
632,study,235.0,222.03
633,sometimes,,648.23
634,of,29.0,312.3
635,they,246.0,727.78
636,through,102.0,56.5
637,rather,232.0,558.88
638,little,450.0,584.44
639,business,205.0,384.05
640,job,174.0,708.06
641,drive,23.0,184.69
642,make,319.0,109.53
643,win,119.0,644.81
644,shoulder,480.0,372.88
645,role,144.0,693.67
646,company,248.0,371.53
647,argue,116.0,836.91
648,allow,278.0,583.89
649,oil,405.0,910.07
650,safe,272.0,110.94
651,reveal,106.0,509.6
652,little,238.0,450.08
653,stuff,47.0,802.39
654,do,267.0,550.71
655,minute,326.0,827.84
656,class,469.0,148.5
657,room,428.0,649.36
658,organization,219.0,438.32
659,parent,36.0,182.32
660,from,,195.94
661,friend,277.0,961.27
662,record,286.0,653.1
663,paper,493.0,782.99
664,happen,2.0,757.28
665,Mrs,214.0,382.35
666,low,245.0,600.98
667,exist,338.0,67.3
668,election,,345.37
669,form,282.0,161.07
670,finally,222.0,681.42
671,already,291.0,33.73
672,beyond,95.0,919.24
673,better,380.0,969.55
674,through,421.0,346.2
675,over,38.0,79.86
676,enough,46.0,464.42
677,avoid,20.0,676.08
678,group,146.0,680.31
679,little,13.0,427.18
680,four,275.0,195.65
681,message,332.0,848.98
682,task,374.0,54.67
683,protect,89.0,235.08
684,sing,297.0,999.33
685,commercial,,168.81
686,detail,38.0,96.2
687,admit,240.0,826.29
688,message,11.0,469.22
689,here,206.0,720.42
690,scientist,356.0,437.28
691,study,,551.89
692,sometimes,144.0,696.44
693,note,427.0,159.7
694,clear,,940.0
695,economic,450.0,337.96
696,win,269.0,575.79
697,attack,391.0,259.02
698,rich,389.0,874.15
699,among,378.0,337.6
700,difficult,351.0,613.29
701,weight,,38.85
702,most,284.0,19.99
703,wall,365.0,526.65
704,figure,378.0,564.16
705,it,198.0,649.27
706,their,217.0,926.98
707,analysis,356.0,18.46
708,agreement,121.0,268.41
709,research,473.0,994.73
710,bit,325.0,842.33
711,particular,454.0,794.35
712,else,497.0,403.71
713,who,482.0,532.69
714,car,,394.43
715,now,346.0,232.65
716,interesting,30.0,615.53
717,tonight,396.0,230.92
718,question,92.0,624.22
719,within,449.0,981.34
720,must,268.0,778.14
721,face,,149.48
722,question,192.0,508.0
723,agreement,40.0,319.25
724,reason,430.0,627.69
725,some,,874.09
726,discover,368.0,873.5
727,drop,270.0,778.83
728,computer,,480.22
729,bit,317.0,653.43
730,lose,393.0,57.49
731,that,470.0,581.22
732,account,64.0,516.19
733,rich,111.0,573.69
734,value,455.0,606.69
735,without,,282.83
736,will,97.0,591.94
737,fund,202.0,833.82
738,staff,28.0,536.03
739,modern,,713.87
740,simply,197.0,659.83
741,already,362.0,73.51
742,today,341.0,248.39
743,however,459.0,616.39
744,gas,175.0,985.24
745,cultural,240.0,677.16
746,fine,252.0,573.84
747,fear,107.0,437.61
748,arm,414.0,440.64
749,entire,4.0,489.05
750,manager,372.0,575.67
751,suffer,105.0,129.34
752,citizen,61.0,669.11
753,loss,306.0,897.92
754,specific,380.0,897.13
755,summer,250.0,84.09
756,say,451.0,520.03
757,century,341.0,89.25
758,fire,471.0,166.43
759,beautiful,293.0,244.72
760,discuss,241.0,564.31
761,consumer,261.0,294.36
762,think,214.0,468.61
763,deal,129.0,832.38
764,interesting,494.0,899.19
765,religious,109.0,380.19
766,year,305.0,267.97
767,bring,163.0,322.93
768,name,247.0,924.65
769,among,25.0,94.74
770,concern,36.0,989.1
771,find,82.0,778.29
772,check,354.0,864.3
773,politics,257.0,881.64
774,white,27.0,826.8
775,true,239.0,395.23
776,art,,648.54
777,which,301.0,632.29
778,laugh,,378.24
779,security,256.0,374.51
780,late,230.0,77.45
781,as,67.0,703.69
782,game,33.0,29.24
783,still,140.0,957.23
784,author,,407.44
785,black,141.0,913.32
786,garden,417.0,870.17
787,try,486.0,654.52
788,eat,357.0,612.95
789,eye,42.0,5.07
790,suggest,338.0,768.66
791,same,62.0,24.41
792,camera,336.0,440.82
793,fine,175.0,748.92
794,different,380.0,495.73
795,worry,34.0,687.67
796,beat,133.0,765.52
797,standard,,460.54
798,hold,231.0,785.5
799,baby,289.0,319.59
800,kind,115.0,249.12
33,none,,860.63
371,pretty,55.0,631.78
488,federal,277.0,69.38
718,question,92.0,624.22
463,crime,73.0,789.32
651,reveal,106.0,509.6
530,again,244.0,221.99
713,who,482.0,532.69
225,thousand,451.0,181.86
240,if,70.0,650.34
447,study,222.0,229.3
599,class,239.0,288.4
512,man,461.0,12.29
702,most,284.0,19.99
119,order,55.0,515.69
283,subject,243.0,537.41
700,difficult,351.0,613.29
635,they,246.0,727.78
370,break,69.0,494.82
501,need,221.0,614.25
673,better,380.0,969.55
327,price,165.0,434.46
540,player,316.0,280.17
672,beyond,95.0,919.24
172,region,,526.97
26,finish,259.0,621.57
194,another,,506.95
565,treatment,387.0,961.56
731,that,470.0,581.22
147,listen,412.0,376.94
654,do,267.0,550.71
138,another,464.0,764.16
500,may,21.0,497.4
56,still,248.0,905.54
354,news,243.0,696.21
75,task,151.0,810.54
589,authority,,195.79
504,another,6.0,858.94
105,move,83.0,371.89
618,table,356.0,151.65
